time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	-0.1117	2.5885	0	0	0	lidar	0	-0.1117	2.5885	0	2.75	0	1
1477010443400000	0.0845588	3.09009	-0.1138	-6.60114e-18	1.46535e-18	radar	4.51544	0.134451	3.26183	-0.022	3.0991	-0.1097	0.994
1477010443800000	-0.186087	3.5905	-0.732228	-0.132104	-0.0696439	lidar	3.01838	-0.2332	3.6818	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	-0.221383	3.89056	-0.689824	-2.13166	-1.49702	radar	5.91703	-0.189596	4.3857	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	-0.327725	4.15541	-0.812347	-1.21518	-0.862733	lidar	2.98924	-0.4031	4.2965	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	-0.556393	4.31903	-0.885928	-0.869174	-0.603615	radar	0.504202	-0.591037	4.39746	-0.5932	4.5757	-0.575	0.8181
1477010445400000	-0.880711	4.64969	-1.05407	-0.813081	-0.4824	lidar	1.34668	-0.9482	4.7226	-0.8456	4.8857	-0.673	0.7396
1477010445800000	-1.08319	5.03636	-1.15859	-1.16911	-0.622316	radar	0.570075	-1.11138	5.09899	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	-1.21514	5.34923	-1.09946	-1.35932	-0.592264	lidar	0.283477	-1.2093	5.3018	-1.4564	5.3991	-0.8358	0.549
1477010446600000	-1.56291	5.59597	-0.969464	-1.09098	-0.222479	radar	4.77675	-1.73304	5.54341	-1.8051	5.5945	-0.898	0.4399
1477010447000000	-1.67733	5.98716	-1.01173	-1.26536	-0.289139	lidar	0.175334	-1.6754	6.0241	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	-2.46556	5.95713	-0.74432	-0.112415	0.64152	radar	21.3025	-2.84047	5.70722	-2.562	5.847	-0.9792	0.2028
1477010447800000	-2.81708	5.9236	-0.777978	0.282527	0.722229	lidar	0.390519	-2.8783	5.9198	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	-3.20241	6.02852	-0.866071	-0.139007	0.0773453	radar	5.52032	-3.45588	5.98569	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	-3.67114	5.70105	-0.993942	0.505732	0.441433	lidar	5.52765	-3.8063	5.5386	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	-4.06591	5.5536	-1.04925	0.534167	0.323275	radar	0.826769	-4.24488	5.64921	-4.1429	5.76	-0.9558	-0.294
1477010449400000	-4.44786	5.57623	-0.984045	0.357116	0.145873	lidar	1.91013	-4.4427	5.694	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	-4.62088	5.39465	-0.868744	0.520577	0.186372	radar	4.43376	-4.17683	5.15558	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	-5.14534	5.02477	-1.12319	0.700083	0.256123	lidar	4.71034	-5.3216	4.9185	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	-5.48612	4.81806	-1.10163	0.619274	0.0785706	radar	0.351628	-5.42972	4.82593	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	-5.81905	4.46644	-1.14612	0.749354	0.1394	lidar	0.312903	-5.8267	4.4186	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	-6.07405	4.11584	-1.13569	0.963532	0.312613	radar	0.349629	-6.11399	4.15497	-5.9603	4.2804	-0.4955	-0.8686
1477010451800000	-6.28275	3.75791	-1.1164	1.09035	0.315282	lidar	0.0291071	-6.2713	3.7696	-6.1333	3.92	-0.3827	-0.9239
1477010452200000	-6.37735	3.38869	-1.07571	1.33901	0.449156	radar	0.475591	-6.34133	3.47906	-6.2599	3.5408	-0.2639	-0.9646
1477010452600000	-6.56214	3.16496	-0.965502	1.3185	0.335431	lidar	1.93545	-6.6088	3.282	-6.3378	3.1487	-0.1409	-0.99
1477010453000000	-6.52857	2.94699	-0.835933	1.59576	0.489383	radar	3.05878	-6.48869	3.24552	-6.3661	2.75	-0.0157	-0.9999
1477010453400000	-6.38969	2.43934	-0.983919	1.92548	0.553087	lidar	2.25814	-6.3381	2.3066	-6.3441	2.3509	0.1097	-0.994
1477010453800000	-6.39122	1.85207	-1.16874	1.79778	0.288754	radar	5.86621	-6.55138	1.52838	-6.2723	1.9576	0.2334	-0.9724
1477010454200000	-6.2463	1.56684	-1.0698	2.00566	0.364971	lidar	0.914283	-6.2598	1.6582	-6.1518	1.5765	0.3535	-0.9355
1477010454600000	-6.12342	1.11551	-1.13804	2.04183	0.31907	radar	1.27925	-6.31343	1.03436	-5.9844	1.2135	0.4679	-0.8838
1477010455000000	-5.68062	0.838364	-1.1442	2.47086	0.523376	lidar	1.22879	-5.598	0.858	-5.7729	0.8743	0.575	-0.8182
1477010455400000	-5.44471	0.451268	-1.13116	2.35748	0.244001	radar	1.18067	-5.5019	0.381299	-5.5205	0.5643	0.673	-0.7396
1477010455800000	-5.11217	0.325602	-1.05345	2.64952	0.400912	lidar	0.947518	-5.1424	0.411	-5.2312	0.2884	0.7604	-0.6495
1477010456200000	-4.69006	0.179696	-1.08235	2.85919	0.426485	radar	1.95362	-4.45852	-0.292484	-4.9097	0.0509	0.8358	-0.549
1477010456600000	-4.5296	-0.113585	-0.985688	2.69357	0.222211	lidar	2.16533	-4.6627	-0.1227	-4.5609	-0.1444	0.898	-0.44
1477010457000000	-4.07427	-0.199132	-1.05274	2.9192	0.316322	radar	3.19855	-3.6847	-0.213925	-4.1904	-0.2945	0.9461	-0.3239
1477010457400000	-3.70819	-0.400248	-1.0758	2.8777	0.206953	lidar	0.1484	-3.7071	-0.4217	-3.804	-0.397	0.9792	-0.2028
1477010457800000	-3.17222	-0.401759	-1.23716	3.21771	0.456198	radar	3.22996	-3.11865	-0.407066	-3.4079	-0.4502	0.9969	-0.0785
1477010458200000	-2.69959	-0.381681	-1.24603	3.30075	0.372573	lidar	0.116295	-2.6884	-0.4092	-3.0081	-0.4533	0.9989	0.0471
1477010458600000	-2.48632	-0.135828	-1.01059	3.72989	0.63592	radar	7.2365	-2.86591	-0.574366	-2.6112	-0.4063	0.9851	0.1719
1477010459000000	-2.06216	-0.408824	-0.95054	3.29168	0.18852	lidar	1.99705	-2.057	-0.4841	-2.2232	-0.31	0.9558	0.294
1477010459400000	-1.75475	-0.30577	-0.983007	3.43756	0.239317	radar	4.46274	-2.18492	-0.243068	-1.8504	-0.1657	0.9114	0.4115
1477010459800000	-1.54248	-0.0583304	-0.936661	3.74367	0.378576	lidar	0.442466	-1.5973	-0.0519	-1.4986	0.0241	0.8527	0.5225
1477010460200000	-1.28644	0.205942	-0.936969	4.017	0.498947	radar	1.32548	-1.17435	0.259147	-1.1734	0.2565	0.7804	0.6252
1477010460600000	-0.840202	0.49286	-1.06414	3.9488	0.299488	lidar	2.44087	-0.7013	0.5146	-0.8798	0.5278	0.6959	0.7181
1477010461000000	-0.501587	0.65802	-1.00712	3.73328	-0.0106537	radar	0.909138	-0.510096	0.678427	-0.6226	0.8338	0.6004	0.7997
1477010461400000	-0.357104	1.19476	-1.08872	4.14881	0.239414	lidar	4.37496	-0.3411	1.3901	-0.4058	1.1697	0.4955	0.8686
1477010461800000	-0.26913	1.62773	-1.06107	4.43172	0.365991	radar	0.947304	-0.303612	1.83576	-0.2327	1.53	0.3827	0.9239
1477010462200000	-0.145217	1.95348	-1.01853	4.47754	0.292861	lidar	0.33953	-0.1145	1.9081	-0.1062	1.9092	0.2639	0.9645
1477010462600000	-0.0615036	2.2788	-1.02081	4.58047	0.305963	radar	2.9107	-0.0482431	1.87648	-0.0282	2.3013	0.1409	0.99
1477010463000000	0.0224195	2.74729	-1.0785	4.59329	0.19271	lidar	0.729734	0.0881	2.8086	0	2.7	0.0157	0.9999
1477010463400000	-0.00881104	3.19482	-1.1076	4.77621	0.27918	radar	0.357453	-0.0203868	3.34004	0.011	3.0997	0.0785	0.9969
1477010463800000	0.0125583	3.49033	-1.00999	4.7755	0.188261	lidar	1.20487	0.0622	3.3954	0.0704	3.4949	0.2028	0.9792
1477010464200000	0.247732	3.99624	-1.09017	4.39938	-0.183507	radar	4.20367	0.362004	4.39421	0.1789	3.8797	0.324	0.9461
1477010464600000	0.288445	4.40106	-1.08698	4.49293	-0.0449059	lidar	0.376085	0.2341	4.4028	0.3348	4.2478	0.44	0.898
1477010465000000	0.478332	4.69427	-1.00674	4.29371	-0.194758	radar	1.34487	0.478839	4.44146	0.5356	4.5934	0.5491	0.8358
1477010465400000	0.716113	5.01817	-1.01496	4.10537	-0.280775	lidar	0.14024	0.7471	5.0154	0.7781	4.9112	0.6495	0.7604
1477010465800000	1.06845	5.30935	-1.08798	3.86701	-0.339828	radar	1.21453	1.14667	5.23345	1.0585	5.1961	0.7397	0.673
1477010466200000	1.35397	5.62807	-1.10192	3.84039	-0.256756	lidar	0.161788	1.3457	5.6597	1.3724	5.4436	0.8182	0.575
